Date,Close,High,Low,Open,Volume
2018-01-02,99.4598388671875,100.26826553313533,99.12696014442936,100.25241071004592,16238200
2018-01-03,99.93537902832031,100.02256241326842,99.45983714023092,99.86405046618634,8605100
2018-01-04,99.91948699951172,99.9908215776098,99.36468937804037,99.58660842662891,9217900
2018-01-05,99.63418579101562,100.00669545044275,99.35678691064717,99.76100016309383,10915400
2018-01-08,99.57077026367188,99.88780012046688,99.20618804475218,99.85609653010322,8850600
2018-01-09,98.23927307128906,98.93674013151646,98.12831350204253,98.92088530914238,16226400
2018-01-10,98.12040710449219,98.22343927826769,97.21687559032564,97.33575654204971,14302600
2018-01-11,98.52460479736328,98.74652394800091,97.73203294688984,97.89055094509054,12511000
2018-01-12,98.69103240966797,98.90503017004836,98.20756920153872,98.35815372334581,9987100
2018-01-16,99.10315704345703,99.29337254097062,98.72272000158823,99.20618917818489,9125900
2018-01-17,98.96846771240234,99.57874549114662,98.75446988639531,99.13490710660534,8327000
2018-01-18,98.04906463623047,98.49290294538119,97.91432887050163,98.22343141392352,10843900
2018-01-19,97.53389739990234,97.93018335526921,97.47049624264494,97.8033749939106,11374300
2018-01-22,97.62896728515625,98.04902925428236,97.47837675024641,97.8429589507491,8984700
2018-01-23,98.04906463623047,98.43742315673735,97.6765548924032,98.12832061331547,12325700
2018-01-24,97.51802062988281,97.58934917888905,97.12173478826926,97.3674300750802,9038900
2018-01-25,98.31851196289062,98.39776791558934,97.32779743705271,97.61312370424136,12173300
2018-01-26,97.95391845703125,98.20754716704819,97.56556007679005,98.18376494035314,6462900
2018-01-29,97.2723617553711,97.46257733743387,96.9315555621346,97.46257733743387,12223000
2018-01-30,96.70167541503906,96.98700171257131,96.45597407464938,96.91566711476713,12064400
2018-01-31,97.2723617553711,97.43087373261602,96.64622916561827,97.3833213488114,18045100
2018-02-01,95.86260223388672,97.31603008851133,95.80700693089507,97.27632262033647,18632800
2018-02-02,94.97309112548828,95.51316245815192,94.70305242943924,95.42579753232145,23944400
2018-02-05,95.8705062866211,96.752092909933,94.22646751385074,94.64740406995926,28606200
2018-02-06,95.27488708496094,95.9976321401132,95.08427546820715,95.64022854183654,10935400
2018-02-07,94.36945343017578,95.56873029131411,94.1629540230914,95.40988226300585,16271100
2018-02-08,94.2662124633789,94.6553795522877,93.59906282295931,93.72614125329946,15155100
2018-02-09,93.67051696777344,94.58386715060892,93.55138249105497,93.80553321365315,15661600
2018-02-12,94.08351135253906,94.75066079879133,93.86907413804127,94.16293231867041,10944600
2018-02-13,94.50447082519531,94.52035865793003,94.02793885351096,94.20266865699621,8157600
2018-02-14,93.45610046386719,94.14707577918651,93.29725848903726,94.08353656548137,12043300
2018-02-15,93.77376556396484,94.35355013100926,93.71022636713752,93.86907435920581,8222400
2018-02-16,94.28206634521484,94.6791772333976,93.98820210656436,94.54416098567897,8454100
2018-02-20,93.86911010742188,94.12326093208817,93.54347614424405,93.94058718649976,8268800
2018-02-21,92.71746063232422,93.94850697086402,92.53479299309237,93.90879345306645,12054300
2018-02-22,92.9954605102539,93.44817291325863,92.92398343152702,93.11459503423234,9317900
2018-02-23,93.82142639160156,93.9643865691616,93.49579857903433,93.62287092606995,9072900
2018-02-26,93.85322570800781,94.44095443485266,93.74997901463801,94.25828068257734,8771600
2018-02-27,93.71817779541016,94.24236712211514,93.13045532621544,94.13117048903655,12525700
2018-02-28,94.31389617919922,94.3774354161528,93.91678503739207,94.09151490929683,9311600
2018-03-01,94.95768737792969,95.1964369259862,94.02657506948506,94.24940474278944,12287700
2018-03-02,94.18573760986328,94.64731683231594,94.00270155135314,94.58364947646318,10064300
2018-03-05,93.93106842041016,94.54385605701584,93.61273773258344,94.50406244416767,5658200
2018-03-06,94.01860046386719,94.44834594033057,94.00268666325104,94.19368262890622,5452000
2018-03-07,93.91514587402344,94.44834623528764,93.87535226488036,94.36080515249473,4461800
2018-03-08,94.45633697509766,94.69508049285704,94.114132468487,94.1539200189531,7086700
2018-03-09,93.83558654785156,94.12207752802331,93.58091710475897,93.899247836971,6570400
2018-03-12,94.37672424316406,94.43243772774812,94.058399638786,94.15389459143836,5801300
2018-03-13,94.854248046875,94.99749658488933,94.05842418494072,94.15391916251413,7455300
2018-03-14,95.68982696533203,95.81716165439624,94.99746432641484,95.02133806270135,10175000
2018-03-15,95.68982696533203,95.88878286325576,95.4431235948353,95.63411955677947,6757900
2018-03-16,95.34760284423828,95.50677117262597,95.14069312481062,95.33964898155708,6084300
2018-03-19,95.04525756835938,95.47500324341839,94.862215382598,94.87017532241069,8491200
2018-03-20,94.66323852539062,94.87811435138973,94.56774355530546,94.63141091646473,5446000
2018-03-21,94.76667022705078,95.03724732090235,93.99472040853611,94.43242579170996,9742400
2018-03-22,95.7057113647461,96.15137046798662,95.23617246241777,95.74549888659263,12136600
2018-03-23,95.6341323852539,95.74554721730433,95.1964329940995,95.2441804730774,7250400
2018-03-26,95.26806640625,95.85697431841473,95.23623272563924,95.49885603693771,8237900
2018-03-27,96.28669738769531,96.39015834340492,95.34762528001762,95.36354515242787,9168500
2018-03-28,96.54137420654297,96.8039974931794,96.2548771796038,96.65278904239118,7412500
2018-03-29,97.01091766357422,97.32128844457866,96.7005468825698,96.72442062393114,9694300
2018-04-02,97.20233154296875,97.58514616795915,96.62811873243123,96.77964432420006,12036500
2018-04-03,96.45262145996094,96.88328544906268,96.36489327229413,96.78758031216358,9855000
2018-04-04,96.25326538085938,96.86735676977473,96.18148498833983,96.7796285592681,6654300
2018-04-05,95.53550720214844,95.91831574154936,95.51955329697138,95.78273797070453,7603700
2018-04-06,96.58023834228516,96.62011701047228,95.87841880845728,96.22933161768647,8831200
2018-04-09,96.73974609375,96.73974609375,95.9820939971605,96.21337688445854,6307500
2018-04-10,96.56428527832031,96.80353902055018,96.32502545146029,96.6599843413602,6046000
2018-04-11,96.9072494506836,97.21030671329696,96.71583909938175,97.17840498807999,5901300
2018-04-12,96.19744873046875,96.55633247588155,96.029969243634,96.53240770413825,6622800
