Date,Close,High,Low,Open,Volume
2018-01-02,150.22215270996094,150.2600596903924,148.02317181231658,148.39282633839383,32573300
2018-01-03,151.6818084716797,151.81450459596132,150.3358865074538,150.3643203581718,29383600
2018-01-04,151.94720458984375,152.4021606757109,151.72920690785642,152.20312371561604,24776100
2018-01-05,153.47317504882812,153.5774372963508,152.38317247610033,152.66752537505212,26992300
2018-01-08,154.07034301757812,154.14617143542628,153.41633556858056,153.4732032662687,23159100
2018-01-09,154.07986450195312,154.53482068903153,153.61543518321764,154.37369067408287,24782400
2018-01-10,153.71961975097656,153.74806805983167,152.71491862258435,153.3973598537169,34004000
2018-01-11,154.771728515625,154.78121610697485,153.7480810452603,153.98503942433933,20473500
2018-01-12,155.9091339111328,156.07026386676313,154.43998912853863,154.63902605963855,37762700
2018-01-16,155.46368408203125,157.73847912655555,154.99924037270677,156.94230230725148,41231800
2018-01-17,157.14132690429688,157.37828530538852,155.44471111610974,156.20298089216155,33849900
2018-01-18,157.16973876953125,157.52990562096628,156.52520454738124,156.89485898884723,26432200
2018-01-19,157.66261291503906,157.9185319966287,156.90434326097505,157.63417906850586,38937600
2018-01-22,159.34976196289062,159.34976196289062,157.42566113216887,157.6057518096005,26081400
2018-01-23,160.66726684570312,160.8094505620659,159.76682782657687,159.8426562494118,37989700
2018-01-24,159.62464904785156,161.35918615186537,158.705249362181,161.00847790933233,54287400
2018-01-25,159.5677947998047,160.78102066944473,159.05595654876683,160.7241529666168,28925000
2018-01-26,162.0132598876953,162.03222061742065,160.14604019952694,160.4588126945994,32038200
2018-01-29,161.2264862060547,161.99422903686965,160.8852655631601,161.6719691138002,37277800
2018-01-30,159.89952087402344,160.5819622036132,159.06543716447464,159.75735162318915,44987700
2018-01-31,160.56298828125,161.12222103506798,159.55828709051298,160.79994665501974,42449200
2018-02-01,159.19815063476562,160.8758058286026,158.6863123503996,159.3308467709357,38037900
2018-02-02,156.02285766601562,158.95165942184832,155.89016156758018,158.57253184425852,68478100
2018-02-05,149.8713836669922,157.10335574190606,149.7576483090266,154.5631696620933,105372200
