Date,Close,High,Low,Open,Volume
2018-01-02,236.56216430664062,236.5973784613616,235.35634139761444,235.74361651795525,86655700
2018-01-03,238.05848693847656,238.20812696947078,236.72942775097104,236.72942775097104,90070400
2018-01-04,239.06182861328125,239.54593593694952,238.12007158752897,238.70098425961316,80636400
2018-01-05,240.65492248535156,240.77813171842422,239.36107780519546,239.85396845853816,83524000
2018-01-08,241.09500122070312,241.25342460074083,240.26764331091647,240.55808617431893,57319200
2018-01-09,241.64076232910156,242.26567261945058,241.23586666107144,241.51752620564912,57254000
2018-01-10,241.2710723876953,241.5351382742084,240.2148894232378,240.88379724256805,69574300
2018-01-11,243.0314178466797,243.0314178466797,241.65836111335076,241.82559479271433,62361500
2018-01-12,244.61575317382812,244.7829600066717,242.99622405262795,243.2955041380164,90816100
2018-01-16,243.77955627441406,246.5256696509318,243.08421767570212,245.87435546460017,106555100
2018-01-17,246.1031494140625,246.49042451957706,243.77952564150394,244.71249925191754,113258800
2018-01-18,245.68948364257812,246.4111991532553,245.19656610428356,245.98873677832768,100728000
2018-01-19,246.8073272705078,246.8073272705078,245.6895262290551,246.27041209526817,140920100
2018-01-22,248.81407165527344,248.81407165527344,246.54322885390033,246.5960635134814,91322400
2018-01-23,249.3422393798828,249.63268234790917,248.53247482267471,248.85813195245848,97084700
2018-01-24,249.24534606933594,250.5832152829012,248.06592711458097,249.98468212184525,134816100
2018-01-25,249.35098266601562,250.20474464268864,248.5588387473728,250.10793928909638,84587300
2018-01-26,252.23782348632812,252.28184787874196,249.9317941162781,250.18704963861404,107743100
2018-01-29,250.56558227539062,252.10587235640565,250.4071588850128,251.66578947611563,90118300
2018-01-30,247.99549865722656,250.61837527818918,247.52020165362248,248.7348346292075,131796400
2018-01-31,248.11875915527344,249.35098602984448,247.04495569446198,248.84931188627255,108364800
2018-02-01,247.8370361328125,249.13969098680522,247.04489240641502,247.3881699088178,90102500
2018-02-02,242.44171142578125,246.648903414558,242.40649726832018,246.51685703921194,173174800
2018-02-05,232.3021240234375,242.79371086272545,231.75642559353702,240.68131857966466,294681800
2018-02-06,236.87901306152344,237.38071398653761,227.6988907174772,228.79028765425716,355026800
2018-02-07,235.59396362304688,239.72191602483426,235.5147250731593,236.32448933195957,167376100
2018-02-08,226.75714111328125,236.034097056527,226.7219269569538,235.89326729174834,246449500
2018-02-09,230.1634063720703,232.0205437178095,222.6115805666625,229.54727943489118,283565300
2018-02-12,233.543212890625,235.0131017383919,230.30420887774528,232.21415380783523,143736000
2018-02-13,234.1241455078125,234.66984410567167,231.75649692507503,232.3374096823058,81223600
2018-02-14,237.2838134765625,237.64468455414777,232.62773046935249,232.63654071970217,120735700
2018-02-15,240.31167602539062,240.3204862790797,236.56216098587512,239.0266414316785,111200300
2018-02-16,240.38209533691406,242.3272813096784,239.64275920638937,239.68678361757665,160420100
2018-02-20,238.8770294189453,240.8750232824043,238.08488544944555,239.43153825575493,86369700
2018-02-21,237.68873596191406,241.7991215895347,237.59193062820205,239.3170478750535,98883700
2018-02-22,237.9968719482422,240.3293063871522,237.3279640789248,238.61299886895065,110511300
2018-02-23,241.79029846191406,241.79029846191406,238.74493283044296,239.22022980292311,92766400
2018-02-26,244.59811401367188,244.6949462363937,242.27448985528216,242.86418600441795,86491400
2018-02-27,241.5438995361328,245.4958623330936,241.4822814822058,244.7829033072066,99099200
2018-02-28,239.09701538085938,243.09297531932364,238.78016861084905,242.64408220128257,121907800
2018-03-01,235.62037658691406,240.43488420283526,234.12408410220073,238.88578392318158,176855100
2018-03-02,236.8350372314453,237.39835632114153,233.0855486252185,233.94809404808356,139083200
2018-03-05,239.57232666015625,240.18845345256145,235.54115233150563,235.6467947883253,97307400
2018-03-06,240.1796417236328,240.62853486564214,238.68334915728698,240.54929630838222,79213200
2018-03-07,240.09164428710938,240.4437052620397,237.82082816735752,238.0144657326488,87063500
2018-03-08,241.2534637451172,241.37667299607364,239.7747915704599,240.7693564135305,66901200
2018-03-09,245.45187377929688,245.45187377929688,242.3448890552754,242.66176276423687,113625300
2018-03-12,245.143798828125,246.3672423323109,244.75652368007562,245.7423320590852,71924800
2018-03-13,243.5594482421875,246.807261752872,242.9521317736514,246.30556086833784,91968900
2018-03-14,242.30960083007812,244.70365255281754,241.75511901481588,244.51882528106347,105895100
2018-03-15,242.04559326171875,243.46264729648829,241.54389231279492,242.8201434578408,83433000
2018-03-16,242.30810546875,243.35970001376637,242.25508616127956,242.57320200610218,100343700
2018-03-19,239.0295867919922,242.48482208147317,237.37708882052542,241.5569572533792,109208400
2018-03-20,239.43606567382812,240.07232421525157,238.75560640551987,239.42722013482984,59757300
